Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Population ages 15-64, male",SP.POP.1564.MA.IN,53860737,54601629,55458310,56397424,57381634,58327340,59181703,60034898,60886813,61796856,62904136,64245722,65494703,66702750,67920147,69212610,70076471,71034125,72058839,73111764,74042805,75044117,76017379,76931900,77764893,78562130,79204725,79794215,80384558,81023746,81855969,82755297,83770992,84821073,85895154,87036698,88101206,89332568,90624489,91941696,93239646,94410726,95474911,96471064,97587329,98768475,99695551,100693346,101717388,102625726,103405231,104049469,104679561,105229771,105788452,106319959,106806372,107149699,107346573,107487469,
"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,10.77486939,10.70233121,10.50641684,10.21998733,9.899074676,9.58451164,9.235697183,8.910759665,8.617060283,8.350535246,8.100189323,7.799371864,7.600970278,7.469558931,7.362555756,7.25213572,7.202170225,7.112238612,7.002040153,6.910514899,6.867756814,6.876830894,6.910669704,6.966583641,7.028823466,7.08774893,7.1823064,7.241569996,7.273849311,7.292919154,7.30983209,7.346439141,7.355883767,7.339861237,7.296725616,7.234308457,7.189663148,7.073344153,6.923362705,6.787529389,6.690256098,6.558055372,6.531848742,6.570198074,6.614098194,6.630659274,6.741331053,6.755741901,6.698296483,6.610690116,6.526967081,6.467644923,6.362247897,6.236285489,6.113215949,6.007934786,5.866952801,5.795026741,5.771754977,5.765721657,
"Contraceptive prevalence, modern methods (% of women ages 15-49)",SP.DYN.CONM.ZS,,,,,,49.1,,,,,56.8,,,63.5,,73.2,60.5,,,,,,64,,,,,,69.1,,66.6,,,,,70.5,,,,,,,68.1,,,,,71.6,70.4,,70.4,,70.1,70.1,63.10396,63.1,67.71881122,,,,
"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.64000034,11.09000015,10.06999969,9.279999733,8.550000191,8.180000305,7.619999886,8.539999962,9.06000042,9.279999733,8.43999958,7.389999866,7.190000057,7.309999943,9.890000343,14.69999981,15.02999973,12.53999996,11.60000038,9.640000343,7.420000076,7.119999886,6.309999943,5.739999771,5.21999979,4.590000153,10.52000046
Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.98999786,65.84999847,65.95999908,66.06999969,65.63999939,65.48999786,65.27999878,64.77999878,64.30999756,63.75,63.18000031,63.15000153,63.08000183,62.52000046,62.24000168,61.22999954,60.45000076,59.59999847,58.84999847,58.18999863,57.70999908,57.36999893,57.47999954,57.47999954,57.22000122,57.36000061,55.47000122
"Labor force with advanced education, female (% of female working-age population with advanced education)",SL.TLF.ADVN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.66000366,75.51000214,75.52999878,75.63999939,75.26000214,74.73000336,74.23000336,73.41000366,73.15000153,73.25,73.01999664,73.16000366,73.09999847,73.08999634,73.48000336,73.34999847,72.44000244,71.87999725,71.48999786,70.95999908,70.38999939,69.72000122,69.40000153,69.30999756,69.36000061,69.37000275,67.81999969
"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.19000244,89.38999939,89.16999817,89.76999664,90.12000275,90.26000214,90.45999908,90.77999878,91.11000061,91.36000061,91.44999695,91.51999664,91.19999695,91.16000366,91.23000336,91.37000275,91.59999847,91.73000336,91.62999725,91.66999817,92.04000092,92.25,92.52999878,92.62999725,92.55000305,92.56999969,92.91999817,92.76999664,93.04000092,
"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.699999809,4.590000153,4.670000076,4.460000038,4.309999943,4.230000019,4.139999866,4,3.849999905,3.74000001,3.700000048,3.650000095,3.75999999,3.75,3.700000048,3.630000114,3.519999981,3.430000067,3.460000038,3.400000095,3.230000019,3.119999886,3,2.940000057,2.960000038,2.940000057,2.799999952,2.839999914,2.710000038,
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,
Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,,,,,,,1,,,,,0.7,,,,,,,0.7,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,0.7,0.7,1,1,1.2,1.2,1.2,1.2,1.2,1.2,1,1.2,1.2,1.2,1.2,1.5,1.2,1.2,1.5,1.2,,
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705.9946899,724.5056152,763.277771,813.0533447,849.9765625,894.3105469,918.9005127,965.9760132,973.9264526,960.366333,971.5601196,996.3074341,1016.531677,1033.070068,1041.084106,1064.907715,1105.879028,1123.425537,1148.317017,,
Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.7,,,,,0.8,,,,,0.8,0.8,,,,
"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk of impoverishing expenditure for surgical care (% of people at risk),SH.SGR.IRSK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,9.199999809,,,,,8.800000191,,,,,7.900000095,7.5,7.400000095,7.199999809,7.099999905,6.800000191,6.599999905,6.400000095,6.199999809,6.099999905,6,5.900000095,5.900000095,5.800000191,5.699999809,5.5,5.400000095,5.199999809,5.099999905,5,4.900000095,4.800000191,4.599999905,4.5,4.300000191,4.099999905,3.900000095,3.799999952,3.700000048,3.599999905,3.49,3.47,3.39,3.33,3.26,3.2,3.18,3.14,3.13,3.08,3.05,2.97,2.93,2.89,2.83,2.8,2.77,2.87,,,
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.94233211,98.94710338,98.9518519,98.95656884,98.96125766,98.96588696,98.97068739,98.97557172,98.98059802,98.98573095,98.9909779,98.99630998,99.00177791,,,
"Probability of dying among youth ages 20-24 years (per 1,000)",SH.DYN.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.4,5.4,5.4,5.2,5.1,4.9,4.8,4.7,4.7,4.7,4.7,4.8,4.8,4.9,4.9,4.8,4.6,4.5,4.3,4.2,4.2,4.2,4.3,4.5,4.7,4.9,5,5.1,
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10.9,10.1,9.4,8.9,8.5,8.2,7.9,7.7,7.6,7.5,7.5,7.6,7.8,8,8.3,8.6,9,9.4,9.7,10.1,10.4,10.7,11.2,11.6,12.3,13.2,,,,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72413793,11.72413793,13.33333333,,14.02298851,13.79310345,14.25287356,14.94252874,15.17241379,16.32183908,16.7816092,17.01149425,16.7816092,16.7816092,16.8202765,17.97235023,17.82407407,19.31034483,19.35483871,19.16859122,19.35483871,23.50230415,23.43387471,23.43387471
"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,,,,,,,,,56.08581161,55.95970154,54.71559906,54.16596985,55.40679932,59.37549973,55.07966995,53.99670029,51.92684937,51.7251091,52.91191864,53.62591171,54.28665924,54.72011948,54.03302002,54.60720062,56.43698883,58.14078903,60.02743149,63.03366089,64.52963257,,69.75730133,69.47206116,69.16430664,68.5741806,,62.31021118,63.04191971,58.63069916,58.68050003,66.37648773,67.67156219,67.81562805,66.93171692,68.77082062,69.41766357,70.93421936,73.27884674,77.70585632,79.01522064,78.17828369,75.07691193,75.39736176,75.75901794,76.06227112,74.99719238,74.89505005,,
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.233530045,0.846130013,0.304280013,0.203749999,0.311190009,,
"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15244,,,,,49.00733,48.85835,48.9125,48.87004,49.14494,49.17237,48.78903,48.81884,,,
Children out of school (% of primary school age),SE.PRM.UNER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.565190017,,,,,2.365639925,3.610249996,2.734829903,2.490760088,,1.805860043,0.359970003,0.424380004,0.574209988,,
"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55674,,,
"School enrollment, primary (% net)",SE.PRM.NENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.77826,,,,,93.37426,92.44255,92.79303,92.80851,93.2305,93.8973,95.07325,94.62633,,,
"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.16603088,95.47634125,,
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage of social safety net programs in 4th quintile (% of population),per_sa_allsa.cov_q4_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),per_allsp.ben_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,6393000000,7594000000,8558000000,12619000000,15520000000,13004000000,16847000000,20292000000,21581000000,31931000000,34185000000,32935000000,36510000000,37085000000,36290000000,25365000000,16957000000,17488000000,22657000000,24789000000,34692000000,31586000000,31077000000,31158000000,22966000000,27952000000,30869000000,23300000000,17411000000,25536000000,35024000000,48749000000,45243000000,58360000000,78184000000,77955000000,50450000000,1.09E+11,1.55E+11,1.42E+11,1.96E+11,2.36E+11,2.32E+11,2.31E+11,2.41E+11,2.25E+11,2.18E+11,2.43E+11,2.68E+11,,
GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,4.77E+12,4.93E+12,5.19E+12,5.49E+12,5.47E+12,5.45E+12,5.75E+12,6.02E+12,6.35E+12,6.57E+12,6.55E+12,6.70E+12,6.59E+12,6.88E+12,7.37E+12,7.66E+12,7.90E+12,8.18E+12,8.52E+12,8.84E+12,9.02E+12,9.00E+12,9.32E+12,9.57E+12,9.94E+12,1.02E+13,1.06E+13,1.11E+13,1.15E+13,1.21E+13,1.26E+13,1.28E+13,1.30E+13,1.34E+13,1.39E+13,1.44E+13,1.47E+13,1.51E+13,1.51E+13,1.47E+13,1.51E+13,1.54E+13,1.57E+13,1.60E+13,1.64E+13,1.69E+13,1.71E+13,1.76E+13,1.81E+13,,
GDP per capita (current LCU),NY.GDP.PCAP.CN,3007.123445,3066.562869,3243.843078,3374.515171,3573.941185,3827.52711,4146.316646,4336.426587,4695.92339,5032.144743,5234.296666,5609.3826,6094.01799,6726.358956,7225.69136,7801.456664,8592.253537,9452.576519,10564.94822,11674.18631,12574.79151,13976.10975,14433.78773,15543.89372,17121.22548,18236.82773,19071.22719,20038.9411,21417.01193,22857.15443,23888.60001,24342.2589,25418.99078,26387.29373,27694.85342,28690.8757,29967.71272,31459.13898,32853.67695,34513.5615,36334.90878,37133.24281,38023.16111,39496.48588,41712.80107,44114.74778,46298.73144,47975.9677,48382.55845,47099.98047,48467.51578,49886.81811,51610.60528,53117.66785,55064.74455,56839.38177,57951.58408,60062.22231,62996.47129,65297.51751,
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,9.87E+11,1.07E+12,1.18E+12,1.31E+12,1.42E+12,1.55E+12,1.73E+12,1.93E+12,2.19E+12,2.46E+12,2.67E+12,2.98E+12,3.12E+12,3.39E+12,3.77E+12,4.05E+12,4.28E+12,4.54E+12,4.89E+12,5.27E+12,5.57E+12,5.73E+12,6.07E+12,6.39E+12,6.77E+12,7.12E+12,7.53E+12,8.26E+12,8.73E+12,9.28E+12,9.89E+12,1.02E+13,1.06E+13,1.11E+13,1.18E+13,1.26E+13,1.33E+13,1.39E+13,1.42E+13,1.40E+13,1.45E+13,1.50E+13,1.56E+13,1.62E+13,1.69E+13,1.76E+13,1.80E+13,1.88E+13,1.98E+13,,
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,,,,,,,,,,,,2.69074409,5.504963137,5.423045427,-4.173997674,-0.315810981,5.006973123,3.992109447,5.106582589,-0.434797058,-2.304937401,4.046131439,1.132407227,3.227749646,8.014127448,4.231339793,3.473835742,3.615227207,5.790288004,2.310565428,1.31876983,0.345254913,3.50353448,2.315696439,4.494924887,3.351017078,4.356121661,5.477067972,5.889115745,4.117965213,3.9706661,1.441121978,1.558448648,2.139827648,3.66775919,3.043792994,3.601546062,0.242325893,-2.937750484,-1.256065513,4.35047298,2.249408619,3.846630296,1.336125643,3.517719716,3.558048076,0.860275412,2.148525047,2.407156235,,
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117125420.2,36317398.39,386163318.4,463657792.3,485471094,544465952.1,775762239.2,410384980.8,302315281.1,122726990.1,106012776.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,,,,12.26769681,12.08785857,11.20063751,10.72215324,10.96524801,10.67482936,10.5780004,11.61928307,11.70555751,10.84528601,10.54312308,10.67941777,11.7566985,11.17045298,10.36471295,10.31906115,9.900990099,10.57669827,10.45792376,11.85190594,11.7426999,11.09728738,11.64445426,12.09800771,11.69873036,11.6917236,11.57911693,12.36886492,12.96792567,13.01176952,12.67090697,12.19186071,12.07886456,12.07886456,12.06864007,12.51276314,12.56071809,13.01585402,14.64077527,14.23888578,14.73786537,14.39944304,14.35459905,13.59027905,13.45041146,14.22936727,17.03395002,15.82521446,15.30984157,14.92836421,14.96924096,15.14402612,15.56648965,16.13965269,15.89403473,15.89403473,,
Financial intermediary services indirectly Measured (FISIM) (current LCU),NV.FSM.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imports of goods and services (constant 2010 US$),NE.IMP.GNFS.KD,,,,,,,,,,,2.59E+11,2.73E+11,3.04E+11,3.18E+11,3.11E+11,2.76E+11,3.30E+11,3.66E+11,3.98E+11,4.05E+11,3.78E+11,3.88E+11,3.83E+11,4.31E+11,5.36E+11,5.71E+11,6.19E+11,6.56E+11,6.82E+11,7.12E+11,7.37E+11,7.36E+11,7.88E+11,8.56E+11,9.58E+11,1.03E+12,1.12E+12,1.28E+12,1.43E+12,1.59E+12,1.79E+12,1.74E+12,1.80E+12,1.89E+12,2.11E+12,2.25E+12,2.40E+12,2.46E+12,2.40E+12,2.09E+12,2.36E+12,2.49E+12,2.56E+12,2.60E+12,2.73E+12,2.87E+12,2.92E+12,3.05E+12,3.18E+12,3.21E+12,
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,,,,,,,,,,,,,2.80E+11,3.17E+11,3.37E+11,3.48E+11,3.96E+11,4.67E+11,5.58E+11,6.42E+11,6.72E+11,7.49E+11,7.53E+11,8.14E+11,9.48E+11,1.03E+12,1.08E+12,1.12E+12,1.18E+12,1.24E+12,1.27E+12,1.24E+12,1.29E+12,1.38E+12,1.49E+12,1.59E+12,1.72E+12,1.85E+12,2.02E+12,2.19E+12,2.37E+12,2.39E+12,2.35E+12,2.48E+12,2.70E+12,2.99E+12,3.18E+12,3.23E+12,3.14E+12,2.72E+12,2.76E+12,2.92E+12,3.17E+12,3.32E+12,3.56E+12,3.72E+12,3.80E+12,4.00E+12,4.28E+12,4.45E+12,
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,78.21742788,78.02695626,77.68299833,76.37984644,77.35780068,78.77433967,78.04866201,77.58304488,76.24692815,75.74693587,77.14666292,76.11350272,78.52726353,79.16807694,77.44843302,78.43942089,79.13884328,79.36151128,79.261265,79.02371322,79.776373,80.3540491,80.45519803,80.55663004,79.99008129,79.90227166,79.49197349,78.77907431,78.83702222,79.23607178,79.98304416,81.30005862,82.18162596,82.64874706,82.41011307,82.15171096,82.04129425,82.37868418,83.79566133,84.93921993,84.68472751,84.62470237,83.48946017,82.51022001,82.0906979,81.78518916,82.45177418,82.39544328,82.04295391,81.83395724,
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.37322923,28.85784981,24.86777418,23.001461,20.98457948,20.55940432,20.52684609,20.86079735,21.75986712,22.72374714,19.5199017,18.74174054,18.93354799,
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,19626000000,20190000000,20973000000,22427000000,25690000000,26699000000,29379000000,30934000000,34063000000,37332000000,43225000000,43549000000,49199000000,70823000000,99437000000,1.09E+11,1.17E+11,1.23E+11,1.46E+11,1.86E+11,2.26E+11,2.39E+11,2.16E+11,2.06E+11,2.24E+11,2.19E+11,2.27E+11,2.54E+11,3.22E+11,3.64E+11,3.94E+11,4.22E+11,4.48E+11,4.65E+11,5.13E+11,5.85E+11,6.25E+11,6.89E+11,6.82E+11,6.96E+11,7.82E+11,7.29E+11,6.93E+11,7.25E+11,8.15E+11,9.01E+11,1.03E+12,1.15E+12,1.29E+12,1.06E+12,1.28E+12,1.48E+12,1.55E+12,1.58E+12,1.62E+12,1.50E+12,1.45E+12,1.55E+12,1.66E+12,1.64E+12,
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,,,,,,,,,,,9.381898455,9.5,9.407665505,9.84570169,8.945686901,10.29232643,10.48988285,8.019559902,8.47311828,8.695652174,7.75354794,7.058088695,18.04470778,16.31725183,13.92093815,13.5536901,15.52883949,16.84833133,19.00136312,20.94381497,20.52348585,23.59035664,23.36167631,23.5452757,24.37673887,25.57971631,27.00464435,27.18850345,27.26933516,28.43133495,27.12135379,27.54020008,29.2211128,28.59091565,27.95705027,28.50741656,29.46390581,30.1138845,32.32840697,34.27958339,34.67700067,36.69629137,37.26179966,39.19569013,39.66380613,40.22615123,41.62064943,42.22856006,41.51372488,40.8180336,
